Applid,Date,ResTime,ColTime,DB2EntryName,AccountRec,ThreadWait,ThreadPrty,CallCount,TwoPCommitCount,AbortCount,OnePCommitCount,ThreadCreate,ThreadReuse,ThreadTerms,ThreadLimit,ThreadHWM,PthreadLimit,PthreadHWM,Readyq,Reuselm,CommitRatio%,ThreadRatio%,PthreadRatio%,TaskTotal
CINAKAA1,04/18/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4559076,16956,5659,48484,104,71049,104,100,7,80,7,0,54,92.04,7.0,8.75,68882
CINAKAA1,04/18/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,285069,1,610,4366,22,4956,22,50,2,50,2,0,1,87.74,4.0,4.0,4965
CINAKAA2,04/18/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4580178,17137,5663,48643,100,71400,102,100,9,80,9,0,56,92.07,9.0,11.25,69171
CINAKAA2,04/18/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,285892,2,654,4367,30,4993,29,50,2,50,2,0,0,86.98,4.0,4.0,5014
CINAKAA3,04/18/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4544922,17217,6548,47566,110,71277,110,100,7,80,7,0,56,90.82,7.0,8.75,69078
CINAKAA3,04/18/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,287994,1,633,4409,29,5014,28,50,2,50,2,0,0,87.45,4.0,4.0,5034
CINAKAA4,04/18/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4600682,17128,5662,48951,105,71690,105,100,8,80,8,0,54,92.11,8.0,10.0,69428
CINAKAA4,04/18/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,277882,3,678,4212,30,4863,29,50,2,50,2,0,0,86.14,4.0,4.0,4881
CINAKAA5,04/18/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4552270,17065,5651,48612,99,71278,102,100,8,80,8,0,49,92.08,8.0,10.0,69150
CINAKAA5,04/18/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,294149,3,639,4506,33,5116,32,50,2,50,2,0,1,87.59,4.0,4.0,5136
CINAKAA6,04/18/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4525087,17018,5669,48260,120,70879,117,100,9,80,9,0,52,92.01,9.0,11.25,68659
CINAKAA6,04/18/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,290492,1,698,4415,24,5091,24,50,2,50,2,0,1,86.35,4.0,4.0,5103
CINAKAA7,04/18/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4515903,17064,5683,47933,92,70643,92,100,9,80,9,0,55,91.96,9.0,11.25,68376
CINAKAA7,04/18/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,284660,1,621,4376,24,4974,24,50,2,50,2,0,0,87.58,4.0,4.0,4988
CINAKAA8,04/18/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4559180,17323,5627,48408,103,71309,103,100,8,80,8,0,54,92.11,8.0,10.0,69049
CINAKAA8,04/18/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,291815,1,613,4492,29,5077,30,50,2,50,2,0,0,87.99,4.0,4.0,5094
